,City Name,Temperature,Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
158,la ronge,28.4,55.1,-105.3,79.0,90,11.41
159,cockburn town,79.73,21.46,-71.14,100.0,76,14.88
161,lingao,73.02,19.91,109.69,100.0,20,4.36
162,sistranda,46.4,63.73,8.83,49.0,75,14.99
163,khakhea,59.21,-24.69,23.5,41.0,0,6.6
164,nabire,75.72,-3.36,135.5,88.0,44,1.01
165,alta floresta,74.6,-9.87,-56.08,95.0,24,2.01
166,ogulin,62.6,45.27,15.22,93.0,75,2.24
167,new norfolk,57.2,-42.78,147.06,62.0,75,9.17
168,georgetown,80.6,6.8,-58.16,83.0,0,4.7
169,castro,49.22,-42.48,-73.76,99.0,92,10.07
170,petropavlovsk-kamchatskiy,46.4,53.05,158.65,52.0,0,4.47
171,kabinda,71.04,-6.14,24.49,83.0,48,8.16
173,gambiran,74.42,-7.93,111.77,88.0,24,3.69
174,taunggyi,60.92,20.78,97.03,93.0,44,2.91
175,komsomolskiy,35.27,67.55,63.78,95.0,80,16.33
176,sigli,77.39,5.38,95.96,98.0,76,3.47
177,port lincoln,59.79,-34.72,135.86,93.0,76,14.65
178,north bend,58.5,43.41,-124.22,74.0,90,3.36
179,bowen,78.8,-20.01,148.25,57.0,75,9.17
181,zaltan,71.0,32.95,11.87,100.0,36,8.95
182,shaunavon,48.27,49.65,-108.41,68.0,88,2.8
183,rawson,67.13,-43.3,-65.11,31.0,92,12.41
184,la rioja,72.17,-29.41,-66.86,50.0,0,2.01
185,hofn,41.75,64.25,-15.21,100.0,0,20.24
187,hambantota,77.66,6.12,81.12,100.0,100,10.07
189,eichenzell,42.42,50.5,9.7,92.0,0,3.69
191,preobrazheniye,50.57,42.9,133.91,55.0,0,2.57
192,balasheyka,48.5,53.28,48.09,69.0,0,14.2
194,vila,59.02,45.18,8.4,87.0,0,2.8
195,hualmay,62.09,-11.1,-77.61,83.0,8,4.14
196,ust-shonosha,37.2,61.15,41.34,95.0,88,7.61
197,gamba,8.22,28.28,88.52,81.0,0,0.78
199,batagay-alyta,21.09,67.8,130.41,82.0,64,3.58
200,iberia,80.04,-11.41,-69.49,84.0,24,1.9
201,guerrero negro,69.38,27.97,-114.04,80.0,24,10.51
202,hailey,51.8,43.52,-114.32,62.0,40,9.17
203,saint anthony,54.88,43.97,-111.68,6.0,20,11.41
204,kendari,81.17,-3.99,122.52,76.0,0,2.35
205,mount gambier,67.13,-37.83,140.78,73.0,32,4.81
206,ozernovskiy,46.16,51.5,156.52,90.0,0,5.7
207,concarneau,45.82,47.88,-3.92,87.0,0,5.82
208,waingapu,79.5,-9.65,120.26,70.0,0,4.81
210,snyder,68.99,32.72,-100.92,76.0,40,14.99
212,longyearbyen,19.4,78.22,15.63,79.0,20,3.36
213,roseburg,57.92,43.22,-123.34,48.0,90,6.93
214,touros,77.57,-5.2,-35.46,85.0,48,16.11
215,vostok,46.34,46.45,135.83,72.0,12,2.57
216,taoudenni,71.04,22.68,-3.98,31.0,0,3.24
217,bathsheba,78.8,13.22,-59.52,83.0,40,19.46
218,hot springs,83.28,34.5,-93.06,65.0,1,6.93
219,sumenep,82.07,-7.02,113.87,94.0,8,8.16
220,khatanga,42.15,71.98,102.47,85.0,0,13.65
221,dvinskoy,32.79,62.16,45.12,94.0,76,2.57
222,turbat,80.72,26.0,63.05,23.0,0,17.78
223,matara,47.37,-13.74,-72.9,80.0,92,1.9
224,khandyga,24.15,62.65,135.58,84.0,48,1.57
226,yarmouth,44.06,50.71,-1.5,81.0,0,2.24
227,pangnirtung,22.22,66.15,-65.72,100.0,68,3.58
229,unai,79.95,-16.36,-46.91,35.0,24,9.06
